station name,distance_group,date_formatted,tripduration,trip_distance,count
1 Ave & E 5 St,0-1 km,07/2019,0,0.0,0
1 Ave & E 5 St,0-1 km,07/2020,2402255,2732.9373628133358,2817
1 Ave & E 5 St,0-1 km,08/2019,0,0.0,0
1 Ave & E 5 St,0-1 km,08/2020,2298009,3300.204696089312,3345
1 Ave & E 5 St,2-3 km,06/2019,0,0.0,0
1 Ave & E 5 St,2-3 km,06/2020,1956321,2824.852847221806,1038
1 Ave & E 5 St,2-3 km,07/2019,0,0.0,0
1 Ave & E 5 St,2-3 km,07/2020,2432579,3215.583182543814,1194
1 Ave & E 5 St,2-3 km,08/2019,0,0.0,0
1 Ave & E 5 St,2-3 km,08/2020,1658337,3604.1744621718076,1315
1 Ave & E 5 St,4-5 km,06/2019,0,0.0,0
1 Ave & E 5 St,4-5 km,06/2020,657553,1621.2617709688575,339
1 Ave & E 5 St,4-5 km,07/2019,0,0.0,0
1 Ave & E 5 St,4-5 km,07/2020,597696,1704.6030766196159,360
1 Ave & E 5 St,4-5 km,08/2019,0,0.0,0
1 Ave & E 5 St,4-5 km,08/2020,657651,1742.1769438103029,366
1 Ave & E 5 St,6-7 km,06/2019,0,0.0,0
1 Ave & E 5 St,6-7 km,06/2020,530854,859.593379866805,128
1 Ave & E 5 St,6-7 km,07/2019,0,0.0,0
1 Ave & E 5 St,6-7 km,07/2020,270295,766.3917908046602,113
1 Ave & E 5 St,6-7 km,08/2019,0,0.0,0
1 Ave & E 5 St,6-7 km,08/2020,212671,680.9137654882744,101
1 Ave & E 5 St,8-9 km,06/2019,0,0.0,0
1 Ave & E 5 St,8-9 km,06/2020,36173,123.26152130120497,14
1 Ave & E 5 St,8-9 km,07/2019,0,0.0,0
1 Ave & E 5 St,8-9 km,07/2020,80529,116.36689279079165,13
1 Ave & E 5 St,8-9 km,08/2019,0,0.0,0
1 Ave & E 5 St,8-9 km,08/2020,80278,221.30231944540185,25
1 Ave & E 5 St,10-11 km,06/2019,0,0.0,0
1 Ave & E 5 St,10-11 km,06/2020,16331,20.100074790546397,2
1 Ave & E 5 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 5 St,10-11 km,07/2020,87970,76.88528548060185,7
1 Ave & E 5 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 5 St,10-11 km,08/2020,10803,32.29987292639518,3
1 Ave & E 5 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 5 St,12-13 km,06/2020,7242,13.530724518125455,1
1 Ave & E 5 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 5 St,12-13 km,07/2020,5137,25.538111188691374,2
1 Ave & E 5 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 5 St,12-13 km,08/2020,4758,12.032240941429537,1
1 Ave & E 62 St,0-1 km,06/2019,1835647,2987.152543760996,2590
1 Ave & E 62 St,0-1 km,06/2020,2704008,3094.123247215395,3075
1 Ave & E 62 St,0-1 km,07/2019,1634161,3015.5678759188045,2688
1 Ave & E 62 St,0-1 km,07/2020,2478568,3526.658547159537,3366
1 Ave & E 62 St,0-1 km,08/2019,1757671,3205.690221896967,2857
1 Ave & E 62 St,0-1 km,08/2020,2402192,3412.457022644913,3303
1 Ave & E 62 St,2-3 km,06/2019,2182206,4947.193365875757,1797
1 Ave & E 62 St,2-3 km,06/2020,3335206,6686.492101960419,2400
1 Ave & E 62 St,2-3 km,07/2019,1992631,4574.426529571439,1657
1 Ave & E 62 St,2-3 km,07/2020,2929036,6687.425275205098,2422
1 Ave & E 62 St,2-3 km,08/2019,2190605,5304.824147059653,1919
1 Ave & E 62 St,2-3 km,08/2020,3123151,6728.015447872836,2432
1 Ave & E 62 St,4-5 km,06/2019,919509,2504.54831907838,522
1 Ave & E 62 St,4-5 km,06/2020,1673576,4083.0867836254793,864
1 Ave & E 62 St,4-5 km,07/2019,1443772,2277.7479440703673,476
1 Ave & E 62 St,4-5 km,07/2020,1592457,4022.2486854791227,850
1 Ave & E 62 St,4-5 km,08/2019,1043448,2403.551133178605,504
1 Ave & E 62 St,4-5 km,08/2020,1636707,4191.541082045087,881
1 Ave & E 62 St,6-7 km,06/2019,190686,499.773112461776,72
1 Ave & E 62 St,6-7 km,06/2020,428885,1106.4553458310172,160
1 Ave & E 62 St,6-7 km,07/2019,158678,466.7588173422191,65
1 Ave & E 62 St,6-7 km,07/2020,402808,1166.2722439430024,169
1 Ave & E 62 St,6-7 km,08/2019,266699,742.1521212289164,105
1 Ave & E 62 St,6-7 km,08/2020,488374,1379.4154092485544,198
1 Ave & E 62 St,8-9 km,06/2019,25702,78.46113059928244,9
1 Ave & E 62 St,8-9 km,06/2020,50531,146.97927398203672,17
1 Ave & E 62 St,8-9 km,07/2019,23840,79.1852779310793,9
1 Ave & E 62 St,8-9 km,07/2020,92172,210.8253343467805,24
1 Ave & E 62 St,8-9 km,08/2019,23616,70.57750403051855,8
1 Ave & E 62 St,8-9 km,08/2020,128897,241.6823754382757,27
1 Ave & E 62 St,10-11 km,06/2019,3087,10.762595648934095,1
1 Ave & E 62 St,10-11 km,06/2020,12266,43.12164200599386,4
1 Ave & E 62 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 62 St,10-11 km,07/2020,13862,42.33600983402222,4
1 Ave & E 62 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 62 St,10-11 km,08/2020,7211,20.952839069157555,2
1 Ave & E 62 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 62 St,12-13 km,06/2020,3592,12.259546575912742,1
1 Ave & E 62 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 62 St,12-13 km,07/2020,3660,12.259546575912742,1
1 Ave & E 62 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 62 St,12-13 km,08/2020,0,0.0,0
1 Ave & E 68 St,0-1 km,06/2019,1739814,3474.1529670447253,2993
1 Ave & E 68 St,0-1 km,06/2020,3963074,5224.221921075671,4945
1 Ave & E 68 St,0-1 km,07/2019,1856182,3723.6053917789013,3228
1 Ave & E 68 St,0-1 km,07/2020,3540140,5493.248890019657,5164
1 Ave & E 68 St,0-1 km,08/2019,1993346,3841.102878676191,3362
1 Ave & E 68 St,0-1 km,08/2020,3907867,5796.580949273955,5592
1 Ave & E 68 St,2-3 km,06/2019,3605507,6280.8263984971445,2225
1 Ave & E 68 St,2-3 km,06/2020,5783432,12007.209475049245,4211
1 Ave & E 68 St,2-3 km,07/2019,3063086,7116.797455750109,2546
1 Ave & E 68 St,2-3 km,07/2020,5614294,12354.248367613423,4283
1 Ave & E 68 St,2-3 km,08/2019,2738447,6891.839965731984,2459
1 Ave & E 68 St,2-3 km,08/2020,4848033,12274.041690326803,4292
1 Ave & E 68 St,4-5 km,06/2019,908564,2564.0032049536485,536
1 Ave & E 68 St,4-5 km,06/2020,2420099,6652.5888680682265,1375
1 Ave & E 68 St,4-5 km,07/2019,959791,2816.7701339280597,597
1 Ave & E 68 St,4-5 km,07/2020,2496806,6238.6179316723565,1286
1 Ave & E 68 St,4-5 km,08/2019,1191055,3305.8116918659935,693
1 Ave & E 68 St,4-5 km,08/2020,2172222,6381.745518587774,1321
1 Ave & E 68 St,6-7 km,06/2019,220583,624.4128123546142,92
1 Ave & E 68 St,6-7 km,06/2020,957551,2324.358660463833,343
1 Ave & E 68 St,6-7 km,07/2019,204885,592.2130589495982,88
1 Ave & E 68 St,6-7 km,07/2020,736875,2245.6151671713615,333
1 Ave & E 68 St,6-7 km,08/2019,284688,798.609860782208,119
1 Ave & E 68 St,6-7 km,08/2020,958632,2237.0702454613506,327
1 Ave & E 68 St,8-9 km,06/2019,26539,84.72321406056196,10
1 Ave & E 68 St,8-9 km,06/2020,271621,572.137417098415,65
1 Ave & E 68 St,8-9 km,07/2019,26982,91.73735850187379,11
1 Ave & E 68 St,8-9 km,07/2020,232531,692.9383728988133,80
1 Ave & E 68 St,8-9 km,08/2019,55918,176.54935571637554,21
1 Ave & E 68 St,8-9 km,08/2020,234173,734.7473250251004,83
1 Ave & E 68 St,10-11 km,06/2019,4584,11.69598679295737,1
1 Ave & E 68 St,10-11 km,06/2020,63379,181.47328748904698,17
1 Ave & E 68 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 68 St,10-11 km,07/2020,17179,53.177775614859556,5
1 Ave & E 68 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 68 St,10-11 km,08/2020,46090,161.16245446168645,15
1 Ave & E 68 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 68 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 68 St,12-13 km,07/2019,4294,12.964411503935088,1
1 Ave & E 68 St,12-13 km,07/2020,0,0.0,0
1 Ave & E 68 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 68 St,12-13 km,08/2020,0,0.0,0
1 Ave & E 78 St,0-1 km,06/2019,1542099,2676.921115245373,2937
1 Ave & E 78 St,0-1 km,06/2020,3058527,2703.3859860607477,3081
1 Ave & E 78 St,0-1 km,07/2019,1532133,2564.1619429648,2983
1 Ave & E 78 St,0-1 km,07/2020,2981761,3311.2990351871726,3692
1 Ave & E 78 St,0-1 km,08/2019,1786869,2604.655717315484,3029
1 Ave & E 78 St,0-1 km,08/2020,3062700,3316.7363196457213,3735
1 Ave & E 78 St,2-3 km,06/2019,1846744,4562.515602851601,1648
1 Ave & E 78 St,2-3 km,06/2020,2489080,5907.424716646372,2073
1 Ave & E 78 St,2-3 km,07/2019,1747463,4397.947089327913,1609
1 Ave & E 78 St,2-3 km,07/2020,2727477,5897.53637807182,2080
1 Ave & E 78 St,2-3 km,08/2019,1837657,4354.409015413311,1578
1 Ave & E 78 St,2-3 km,08/2020,2637771,6104.7584465025475,2167
1 Ave & E 78 St,4-5 km,06/2019,584111,1518.2934222475305,326
1 Ave & E 78 St,4-5 km,06/2020,1216913,3220.481112567046,655
1 Ave & E 78 St,4-5 km,07/2019,519955,1411.0578165141394,299
1 Ave & E 78 St,4-5 km,07/2020,2175738,2989.7317910083457,618
1 Ave & E 78 St,4-5 km,08/2019,592913,1639.5507643779254,338
1 Ave & E 78 St,4-5 km,08/2020,1108265,3057.806684741639,620
1 Ave & E 78 St,6-7 km,06/2019,234475,719.635286548407,108
1 Ave & E 78 St,6-7 km,06/2020,500809,1360.545518766061,205
1 Ave & E 78 St,6-7 km,07/2019,232763,711.2637198173957,108
1 Ave & E 78 St,6-7 km,07/2020,625732,1577.2111521950765,239
1 Ave & E 78 St,6-7 km,08/2019,221465,629.901956384668,94
1 Ave & E 78 St,6-7 km,08/2020,640871,1904.990024927117,288
1 Ave & E 78 St,8-9 km,06/2019,113091,337.5940830852402,39
1 Ave & E 78 St,8-9 km,06/2020,225066,577.0949966185593,67
1 Ave & E 78 St,8-9 km,07/2019,112000,396.27209309558486,45
1 Ave & E 78 St,8-9 km,07/2020,178270,481.1954059707291,56
1 Ave & E 78 St,8-9 km,08/2019,95224,325.8023205964763,37
1 Ave & E 78 St,8-9 km,08/2020,199342,568.207668520083,66
1 Ave & E 78 St,10-11 km,06/2019,3588,10.207891303305392,1
1 Ave & E 78 St,10-11 km,06/2020,52887,97.31401392381514,9
1 Ave & E 78 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 78 St,10-11 km,07/2020,10222,31.923552786436787,3
1 Ave & E 78 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 78 St,10-11 km,08/2020,11478,31.12811275506148,3
1 Ave & E 78 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 78 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 78 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 78 St,12-13 km,07/2020,12577,24.50970107238399,2
1 Ave & E 78 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 78 St,12-13 km,08/2020,4033,13.535542655417126,1
1 Ave & E 94 St,0-1 km,06/2019,687684,959.6899458470699,949
1 Ave & E 94 St,0-1 km,06/2020,1959854,1455.3293170118504,1652
1 Ave & E 94 St,0-1 km,07/2019,1827097,1093.434283113092,1089
1 Ave & E 94 St,0-1 km,07/2020,1425702,1364.3817340944372,1534
1 Ave & E 94 St,0-1 km,08/2019,764562,1007.5810193228061,1024
1 Ave & E 94 St,0-1 km,08/2020,1717753,1528.4872163407356,1671
1 Ave & E 94 St,2-3 km,06/2019,1209304,1438.8979912162674,500
1 Ave & E 94 St,2-3 km,06/2020,1079701,2151.9868898943387,756
1 Ave & E 94 St,2-3 km,07/2019,554623,1301.3267467966405,464
1 Ave & E 94 St,2-3 km,07/2020,1317076,2096.529966751419,743
1 Ave & E 94 St,2-3 km,08/2019,664120,1510.9960271083946,528
1 Ave & E 94 St,2-3 km,08/2020,1104143,2276.966880415875,820
